NID,Title,URL,Organization,Product,Issue,"What you should do",Category,"Recall class","Last updated",Archived
82496,"Two lots of Teva-Pregabalin 150 mg capsules recalled due to cross-contamination with the drug sertraline",https://recalls-rappels.canada.ca/en/alert-recall/two-lots-teva-pregabalin-150-mg-capsules-recalled-due-cross-contamination-drug,"Communications and Public Affairs Branch","Teva-Pregabalin 150 mg capsules",Contamination,"If you experience a serious allergic reaction (anaphylaxis), stop taking the affected product and seek immediate medical help by calling 9-1-1. Otherwise, do not stop taking your pregabalin medication without first speaking with your healthcare professional or pharmacist, as stopping suddenly may cause withdrawal symptoms including insomnia, nausea, headache, anxiety, excessive sweating, diarrhea, and convulsions.Return the product to the pharmacy where it was purchased as soon as possible for a replacement or alternative supply, and for&nbsp;proper disposal. If you are unsure whether your product is recalled, check with your pharmacy.Seek medical attention if you have used this product and think you are experiencing side effects.Contact Teva Canada Customer Care by calling toll-free at 1-800-268-4129 or by email at&nbsp;customer.service@tevacanada.com, if you have questions about this recall.Report any health product-related side effects or complaints to Health Canada.",Drugs,"Type I",2026-08-15,0
82318,"Warn® wireless remote kit for truck and utility winches recalled due to failure to operate",https://recalls-rappels.canada.ca/en/alert-recall/warnr-wireless-remote-kit-truck-and-utility-winches-recalled-due-failure-operate,"Consumer product safety","Warn® wireless remote kit for truck and utility winches","Injury hazard","Consumers should immediately stop using the recalled product with non-compatible legacy model winches and contact WARN Industries, Inc. for a refund.&nbsp;WARN Industries will provide a refund for part number 90287 to customers who purchased these remote-control products for use with a winch identified on WARN's Non-Compatibility List.For more information, consumers can contact WARN Industries, Inc. by telephone at 1-800-543-9276, 7:00 a.m. to 4:00 p.m. PT, Monday to Friday by email at cs@warn.com or visit the&nbsp;company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Tools and accessories",,2026-08-14,0
82482,"Madewell Double V-Neck Pullover and V-Neck Cardigan Sweaters recalled due to flammability hazard ",https://recalls-rappels.canada.ca/en/alert-recall/madewell-double-v-neck-pullover-and-v-neck-cardigan-sweaters-recalled-due-flammability,"Consumer product safety","Madewell Double V-Neck Pullover and V-Neck Cardigan Sweaters","Flammability hazard","Consumers should immediately stop wearing the recalled sweaters and contact Madewell for a refund of the original purchase price or equivalent store credit. Consumers will be asked to destroy the sweater by cutting it in half.&nbsp;Consumers must provide their name, address, telephone number, email address, affected product information, order number (if available), a photograph of the product label showing the style number and HO24 code, and a photograph of the sweater cut in half. Consumers should also indicate whether they prefer a refund of the original purchase price or equivalent store credit.For more information, consumers can contact Madewell by telephone at 1-866-544-1937, from 9 a.m. to 9 p.m. EST, Monday through Sunday, by email at&nbsp;24-7@madewell.com or on the company's website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Clothing,,2026-08-14,0
82486,"Orthopaedic Implant Components",https://recalls-rappels.canada.ca/en/alert-recall/orthopaedic-implant-components,"Medical devices","Orthopaedic Implant Components",Performance,,Orthopaedics,"Type II",2026-08-14,0
82487,"Mounit el Bait brand Tahina and Halva recalled due to undeclared peanut",https://recalls-rappels.canada.ca/en/alert-recall/mounit-el-bait-brand-tahina-and-halva-recalled-due-undeclared-peanut,CFIA,"Tahina, Halva Plain, Halva with Chocolate, Halva with Pistachios",Peanut,"Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners - Nuts, grains, and seeds","Class 1",2026-08-14,0
82488,"Coaticook brand Mild Cheddar Curds - White, Frozen recalled due to Listeria monocytogenes",https://recalls-rappels.canada.ca/en/alert-recall/coaticook-brand-mild-cheddar-curds-white-frozen-recalled-due-listeria-monocytogenes,CFIA,"Mild Cheddar Curds - White, Frozen",Listeria,,Dairy,"Class 1",2026-08-14,0
82489,"Endotracheal Tube, Cuffed",https://recalls-rappels.canada.ca/en/alert-recall/endotracheal-tube-cuffed,"Medical devices","Endotracheal Tube, Cuffed","Device compatibility",,Anaesthesiology,"Type I",2026-08-14,0
82491,"Clément le Gourmand brand meat products recalled due to Listeria monocytogenes",https://recalls-rappels.canada.ca/en/alert-recall/clement-gourmand-brand-meat-products-recalled-due-listeria-monocytogenes,CFIA,"Country-Style Pâté, Duck Liver Mousse with Port, Liver Pâté with Cognac",Listeria,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with Listeria monocytogenes may not look or smell spoiled but can still make you sick. Symptoms can include vomiting, nausea, persistent fever, muscle aches, severe headache and neck stiffness. Pregnant women, the elderly and people with weakened immune systems are particularly at risk. Although infected pregnant women may experience only mild, flu-like symptoms, the infection can lead to premature delivery, infection of the newborn or even stillbirth. In severe cases of illness, people may die.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Processed,"Class 1",2026-08-14,0
82494,"Various Salem Foods brand jarred products recalled due to undeclared wheat, mustard and sesame",https://recalls-rappels.canada.ca/en/alert-recall/various-salem-foods-brand-jarred-products-recalled-due-undeclared-wheat-mustard-and,CFIA,"Spices, Colouring, Citric Acid and Sprinkles ","Wheat - Gluten - Mustard - Sesame seeds",,"Herbs and spices - Other","Class 2",2026-08-14,0
82446,"Taleco Gear 2-in-1 Jumper & Swing-A recalled due to fall and strangulation hazards",https://recalls-rappels.canada.ca/en/alert-recall/taleco-gear-2-1-jumper-swing-recalled-due-fall-and-strangulation-hazards,"Consumer product safety","Taleco Gear 2-in-1 Jumper & Swing-A","Fall hazard - Strangulation hazard","Consumers should immediately stop using the recalled product and go to&nbsp;talecogear.com/recall for instructions on how to register for a refund and disable the product so it cannot be used again.For more information, consumers can visit the company website at&nbsp;talecogear.com/recall or contact the company by email at&nbsp;TalecoGearRecall@163.com.Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC) and Taleco Gear.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2026-08-13,0
82474,"Baby walkers sold at ToyTexx (Richmond Hill location) recalled due to physical hazard",https://recalls-rappels.canada.ca/en/alert-recall/baby-walkers-sold-toytexx-richmond-hill-location-recalled-due-physical-hazard,"Consumer product safety","Baby walkers sold at the ToyTexx store located at 50 Fulton Way in Richmond Hill, Ontario","Physical hazard","Consumers should immediately stop using the recalled product, safely dispose of it in such a way that it cannot be used again and contact the ToyTexx store located at 50 Fulton Way in Richmond Hill, Ontario for a refund.For more information about the refund, consumers can contact ToyTexx by visiting them at the 50 Fulton Way store in Richmond Hill, Ontario, by telephone at 289-800-0372 or 437-438-6861, 10:00 a.m. to 6:00 p.m. EST, Monday to Sunday, or by email at&nbsp;toytexxrichmondhill@gmail.com.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Other,,2026-08-13,0
82475,"​​Roller Blinds in a Cassette​ by Omni Blinds recalled due to strangulation hazard",https://recalls-rappels.canada.ca/en/alert-recall/roller-blinds-cassette-omni-blinds-recalled-due-strangulation-hazard,"Consumer product safety","Roller Blinds in a Cassette","Strangulation hazard","Consumers should immediately stop using the recalled product and contact Omni Blinds to obtain a repair kit.For more information, consumers can contact Omni Blinds by telephone at 778-708-6664, 8:30am to 5pm PT, Monday to Friday, by email at info@omniblinds.ca or visit the company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2026-08-13,0
82476,"IV Tubing Set Drip Chambers ",https://recalls-rappels.canada.ca/en/alert-recall/iv-tubing-set-drip-chambers,"Medical devices","IV Tubing Set Drip Chambers ",Performance,,"General hospital and personal use","Type II",2026-08-13,0
82480,"Certain Whole Foods Market brand guacamoles, pico de gallos, salsas, and prepared foods recalled due to Salmonella",https://recalls-rappels.canada.ca/en/alert-recall/certain-whole-foods-market-brand-guacamoles-pico-gallos-salsas-and-prepared-foods,CFIA,"Guacamoles, pico de gallos, salsas, and prepared foods",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Multiple food items","Class 2",2026-08-13,0
